Accession_number	Protein_name	GO_ID
Q96LX8	Zinc finger protein 597	{'GO:0000978', 'GO:0001228', 'GO:1990837', 'GO:0006355', 'GO:0045944', 'GO:0005634', 'GO:0005515', 'GO:0006357'}
Q96ME7	Zinc finger protein 512	{'GO:0003677', 'GO:0006355', 'GO:0005721', 'GO:0140719', 'GO:0008270', 'GO:0003700', 'GO:0005634', 'GO:0005515', 'GO:0005694', 'GO:0010468'}
Q96MF2	SH3 and cysteine-rich domain-containing protein 3	{'GO:0005829', 'GO:0005654', 'GO:0042383', 'GO:0030315', 'GO:0007274', 'GO:0003009', 'GO:0042802', 'GO:0005737', 'GO:0009898', 'GO:0005891', 'GO:0045202', 'GO:0005515', 'GO:1903078', 'GO:0005246', 'GO:1901387'}
Q96MM3	Zinc finger protein 42 homolog	{'GO:0000978', 'GO:1990837', 'GO:0005667', 'GO:0031519', 'GO:0051321', 'GO:0000785', 'GO:0008584', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0008585', 'GO:0005737', 'GO:0048468', 'GO:0005515', 'GO:0006357'}
Q96MR9	Zinc finger protein 560	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q96MX3	Zinc finger protein 48	{'GO:0005634', 'GO:0042802', 'GO:0000976', 'GO:0005515', 'GO:0006357'}
Q96N22	Zinc finger protein 681	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q96N58	Zinc finger protein 578	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q96N77	Zinc finger protein 641	{'GO:0000977', 'GO:0006355', 'GO:0005730', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q96N95	Zinc finger protein 396	{'GO:0000978', 'GO:1990837', 'GO:0042803', 'GO:0000785', 'GO:0045892', 'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0046982', 'GO:0005737', 'GO:0005515', 'GO:0006357'}
Q96ND8	Zinc finger protein 583	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0031981', 'GO:0006357'}
Q96NE9	FERM domain-containing protein 6	{'GO:0005911', 'GO:0005886', 'GO:0005737', 'GO:0035332', 'GO:0005515', 'GO:0043296', 'GO:0140311'}
Q96NG5	Zinc finger protein 558	{'GO:0000977', 'GO:0000122', 'GO:0006355', 'GO:0001227', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q96NG8	Zinc finger protein 582	{'GO:0003677', 'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q96NI8	Zinc finger protein 570	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q96NJ3	Zinc finger protein 285	{'GO:0006355', 'GO:0005515', 'GO:0005634', 'GO:0003700'}
Q96NJ6	Zinc finger protein 3 homolog	{'GO:0000977', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q96NL3	Zinc finger protein 599	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q96NS1	Protein yippee-like 4	{'GO:0005730'}
Q96NZ8	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1	{'GO:0004867', 'GO:0050431', 'GO:0048019', 'GO:0007179', 'GO:0005576', 'GO:0030512', 'GO:0030414', 'GO:0005515'}
Q96P26	Cytosolic 5'-nucleotidase 1B	{'GO:0005829', 'GO:0000287', 'GO:0009117', 'GO:0006195', 'GO:0000166', 'GO:0005634', 'GO:0008253', 'GO:0005737', 'GO:0046085', 'GO:0006196'}
Q96PE6	Zinc finger imprinted 3	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q96PM5	RING finger and CHY zinc finger domain-containing protein 1	{'GO:0005829', 'GO:0061630', 'GO:0042803', 'GO:0004842', 'GO:0002039', 'GO:0006511', 'GO:0008270', 'GO:0005634', 'GO:0032436', 'GO:0016567', 'GO:0005737', 'GO:0051865', 'GO:0072344', 'GO:0000151', 'GO:0005515', 'GO:0005654', 'GO:0070987', 'GO:0016607'}
Q96PQ6	Zinc finger protein 317	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q96QE2	Proton myo-inositol cotransporter	{'GO:0022857', 'GO:0030426', 'GO:0005365', 'GO:0005886', 'GO:0043005', 'GO:0044297', 'GO:0005737', 'GO:0005515', 'GO:0015798', 'GO:0071944', 'GO:0005366', 'GO:0051117', 'GO:0016324', 'GO:0055085', 'GO:0016020', 'GO:0002020', 'GO:1902004', 'GO:0005794', 'GO:0097450', 'GO:0150104', 'GO:0098588'}
Q96QV1	Hedgehog-interacting protein	{'GO:0048705', 'GO:0060170', 'GO:0045879', 'GO:0005886', 'GO:0009968', 'GO:0008270', 'GO:0097108', 'GO:0005737', 'GO:0005576', 'GO:0005515', 'GO:0009986'}
Q96RE9	Zinc finger protein 300	{'GO:0000978', 'GO:0001228', 'GO:0006355', 'GO:0045944', 'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0031981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q96RI1	Bile acid receptor	{'GO:0015721', 'GO:0010903', 'GO:0032715', 'GO:0043235', 'GO:0045893', 'GO:2001250', 'GO:0043565', 'GO:0032703', 'GO:0008270', 'GO:0010988', 'GO:0034162', 'GO:0043124', 'GO:0030522', 'GO:0071638', 'GO:1905695', 'GO:0000978', 'GO:0003677', 'GO:1903413', 'GO:0035774', 'GO:0090461', 'GO:0000785', 'GO:0032052', 'GO:0004879', 'GO:0007043', 'GO:0000981', 'GO:0046965', 'GO:0061178', 'GO:0005515', 'GO:0006357', 'GO:0045944', 'GO:0000050', 'GO:0070857', 'GO:1904179', 'GO:0001678', 'GO:0001228', 'GO:0050728', 'GO:0038185', 'GO:0043066', 'GO:0046628', 'GO:0090575', 'GO:0032689', 'GO:0032720', 'GO:0001221', 'GO:0042593', 'GO:0055089', 'GO:0016607', 'GO:0090181', 'GO:0071222', 'GO:0000977', 'GO:0000122', 'GO:0030154', 'GO:0006355', 'GO:0032692', 'GO:0035356', 'GO:0070328', 'GO:0003700', 'GO:1902122', 'GO:0016922', 'GO:0000976', 'GO:0010804', 'GO:0042742', 'GO:0071398', 'GO:0005634', 'GO:0000791', 'GO:0038186', 'GO:0005654', 'GO:0032740', 'GO:0042632'}
Q96RL1	BRCA1-A complex subunit RAP80	{'GO:0045892', 'GO:0006281', 'GO:0003677', 'GO:0044818', 'GO:0061649', 'GO:0010212', 'GO:0016604', 'GO:0005515', 'GO:0042393', 'GO:0007095', 'GO:0070530', 'GO:0006302', 'GO:0070531', 'GO:0006282', 'GO:0140861', 'GO:0005634', 'GO:0045739', 'GO:0035861', 'GO:0005654'}
Q96RL6	Sialic acid-binding Ig-like lectin 11	{'GO:0005886', 'GO:0016020', 'GO:0033691', 'GO:0019902', 'GO:0007155'}
Q96S15	GATOR2 complex protein WDR24	{'GO:1904263', 'GO:0061630', 'GO:1904262', 'GO:0032008', 'GO:0005774', 'GO:0016567', 'GO:0085020', 'GO:0005765', 'GO:0034198', 'GO:0016239', 'GO:0005515', 'GO:0031669', 'GO:0061700', 'GO:0072659', 'GO:0010506'}
Q96SE7	Zinc finger protein 347	{'GO:0000978', 'GO:1990837', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q96SL8	Flt3-interacting zinc finger protein 1	{'GO:0000785', 'GO:0030971', 'GO:0005634', 'GO:0005737', 'GO:0045944', 'GO:0061629', 'GO:0003713'}
Q96SQ5	Zinc finger protein 587	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q96SR6	Zinc finger protein 382	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0003700', 'GO:0006357'}
Q96SZ4	Zinc finger and SCAN domain-containing protein 10	{'GO:0000978', 'GO:0045892', 'GO:0043565', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q96T25	Zinc finger protein ZIC 5	{'GO:0000978', 'GO:1990837', 'GO:0007417', 'GO:0000977', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q96T88	E3 ubiquitin-protein ligase UHRF1	{'GO:0005654', 'GO:0061630', 'GO:0050678', 'GO:0008270', 'GO:0031507', 'GO:0140248', 'GO:0008327', 'GO:0062072', 'GO:0005819', 'GO:0006950', 'GO:0000785', 'GO:0006511', 'GO:0141119', 'GO:0140234', 'GO:0042802', 'GO:0005515', 'GO:0045944', 'GO:0140006', 'GO:0141055', 'GO:0044027', 'GO:0042393', 'GO:0016567', 'GO:0005657', 'GO:0016363', 'GO:0000987', 'GO:0140612', 'GO:0071168', 'GO:0005694', 'GO:0000724', 'GO:0000122', 'GO:0004842', 'GO:0044729', 'GO:0090307', 'GO:0006974', 'GO:0000791', 'GO:0003676', 'GO:0051247', 'GO:0000792', 'GO:0005634', 'GO:0051865', 'GO:0035825', 'GO:0140851', 'GO:0040029'}
Q99062	Granulocyte colony-stimulating factor receptor	{'GO:0043235', 'GO:0030666', 'GO:0004896', 'GO:0019221', 'GO:0009897', 'GO:0005886', 'GO:0051916', 'GO:0007165', 'GO:0008284', 'GO:0016020', 'GO:0097186', 'GO:0019955', 'GO:0005576', 'GO:0005765', 'GO:0005515', 'GO:0038023', 'GO:0006952'}
Q99075	Proheparin-binding EGF-like growth factor	{'GO:0008083', 'GO:0030666', 'GO:0016477', 'GO:0005886', 'GO:0035313', 'GO:0009986', 'GO:0048661', 'GO:0007165', 'GO:0038135', 'GO:0030307', 'GO:0005515', 'GO:0010561', 'GO:0005154', 'GO:0030335', 'GO:0038134', 'GO:0030669', 'GO:0030297', 'GO:0008201', 'GO:0005576', 'GO:0090303', 'GO:0007173', 'GO:0060326', 'GO:0051549', 'GO:0048018', 'GO:0008284', 'GO:0051897', 'GO:0007517'}
Q99435	Protein kinase C-binding protein NELL2	{'GO:0009566', 'GO:0070050', 'GO:0005509', 'GO:0042802', 'GO:0008201', 'GO:0071679', 'GO:0005576', 'GO:0005737', 'GO:0005515', 'GO:0005080', 'GO:0140149'}
Q99469	SH3 and cysteine-rich domain-containing protein	{'GO:0005829', 'GO:2001259', 'GO:0042383', 'GO:0044325', 'GO:0030315', 'GO:0005886', 'GO:0007165', 'GO:0003009', 'GO:0009898', 'GO:0005515', 'GO:1903078', 'GO:0005246', 'GO:1901387'}
Q99592	Zinc finger and BTB domain-containing protein 18	{'GO:0003677', 'GO:1990837', 'GO:0007519', 'GO:0000122', 'GO:0045892', 'GO:0001227', 'GO:0043565', 'GO:0045944', 'GO:0005634', 'GO:0000981', 'GO:0000792', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:0016607'}
Q99676	Zinc finger protein 184	{'GO:0000978', 'GO:0006355', 'GO:0008270', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q99684	Zinc finger protein Gfi-1	{'GO:0010977', 'GO:0010957', 'GO:0140767', 'GO:0045892', 'GO:0001227', 'GO:0070105', 'GO:0017053', 'GO:0000978', 'GO:0034121', 'GO:0016604', 'GO:0005515', 'GO:0006357', 'GO:0016363', 'GO:1990837', 'GO:0071222', 'GO:0000122', 'GO:0003700', 'GO:0005634', 'GO:0000976', 'GO:0006974'}
Q99944	Epidermal growth factor-like protein 8	{'GO:0005102', 'GO:0001570', 'GO:0005509', 'GO:0005576', 'GO:0005515', 'GO:0009986'}
Q99965	Disintegrin and metalloproteinase domain-containing protein 2	{'GO:0004222', 'GO:0007339', 'GO:0005886', 'GO:0008584', 'GO:0032991', 'GO:0005178', 'GO:0007342', 'GO:0016020', 'GO:0006508', 'GO:0008237', 'GO:0007155', 'GO:0009986'}
Q99985	Semaphorin-3C	{'GO:0003350', 'GO:0009410', 'GO:0005886', 'GO:0060174', 'GO:0030215', 'GO:0045499', 'GO:0050919', 'GO:0003215', 'GO:0021915', 'GO:0005515', 'GO:0030335', 'GO:0071526', 'GO:0001755', 'GO:1905312', 'GO:0006955', 'GO:0140074', 'GO:0005576', 'GO:0070062', 'GO:0038191', 'GO:0003151', 'GO:0007411', 'GO:0003148', 'GO:0001756'}
Q9BQ04	RNA-binding protein 4B	{'GO:0016607', 'GO:0000381', 'GO:0007623', 'GO:0003729', 'GO:0003723', 'GO:0005730', 'GO:0032991', 'GO:0008270', 'GO:0006417', 'GO:0003676', 'GO:0005634', 'GO:0005515', 'GO:0043153', 'GO:0032922'}
Q9BQ16	Testican-3	{'GO:2000146', 'GO:0031012', 'GO:0005509', 'GO:0008191', 'GO:0140150', 'GO:0005576', 'GO:0010951', 'GO:0010810'}
Q9BQA5	Histone H4 transcription factor	{'GO:0001701', 'GO:0045893', 'GO:0045892', 'GO:0001227', 'GO:0160108', 'GO:0006281', 'GO:0010628', 'GO:0000978', 'GO:0003677', 'GO:0045445', 'GO:0000981', 'GO:0019899', 'GO:0015030', 'GO:0005515', 'GO:0006357', 'GO:0010629', 'GO:0045944', 'GO:0001228', 'GO:0000077', 'GO:0044843', 'GO:0006351', 'GO:0042393', 'GO:0000977', 'GO:0000122', 'GO:0006355', 'GO:0045184', 'GO:0003682', 'GO:0003700', 'GO:0005634', 'GO:0000976', 'GO:0000082', 'GO:0005654'}
Q9BR11	Zinc finger SWIM domain-containing protein 1	{'GO:0005634', 'GO:0008270'}
Q9BR84	Zinc finger protein 559	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q9BRH9	Zinc finger protein 251	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q9BRN9	TM2 domain-containing protein 3	{'GO:0005783', 'GO:0004930', 'GO:0005886', 'GO:0045747', 'GO:0007165', 'GO:0007186', 'GO:2000010', 'GO:0016020', 'GO:0031410', 'GO:0005515', 'GO:0046331', 'GO:0035334'}
Q9BRR0	Zinc finger protein with KRAB and SCAN domains 3	{'GO:0045893', 'GO:0045892', 'GO:0001227', 'GO:0043565', 'GO:0007040', 'GO:0010507', 'GO:0000978', 'GO:0003677', 'GO:2000773', 'GO:0000981', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0000122', 'GO:0006355', 'GO:0003682', 'GO:0003700', 'GO:0005634', 'GO:0005654'}
Q9BRZ2	E3 ubiquitin-protein ligase TRIM56	{'GO:0051607', 'GO:0061630', 'GO:0003723', 'GO:0032728', 'GO:0006513', 'GO:0008270', 'GO:0060340', 'GO:0034340', 'GO:0045087', 'GO:0005829', 'GO:0005737', 'GO:0005515', 'GO:0070534', 'GO:1901224', 'GO:0016567', 'GO:0032479', 'GO:0045089', 'GO:0004842', 'GO:0005654'}
Q9BS31	Zinc finger protein 649	{'GO:0000978', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0005576', 'GO:0005515', 'GO:0006357'}
Q9BS34	Zinc finger protein 670	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0006629', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q9BSG1	Zinc finger protein 2	{'GO:0006355', 'GO:0005515', 'GO:0005634', 'GO:0008270'}
Q9BSJ5	Mitochondrial nucleoid-associated protein 1	{'GO:0042645', 'GO:0005739', 'GO:0005743', 'GO:0070062', 'GO:0005515'}
Q9BSK1	Zinc finger protein 577	{'GO:0000978', 'GO:0006355', 'GO:0005730', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q9BSW7	Synaptotagmin-17	{'GO:0000149', 'GO:0005544', 'GO:0099149', 'GO:0098794', 'GO:0005886', 'GO:0061891', 'GO:1903861', 'GO:0098978', 'GO:0016020', 'GO:0070382', 'GO:0016192', 'GO:0005515', 'GO:0017158'}
Q9BU19	Zinc finger protein 692	{'GO:0000978', 'GO:0000122', 'GO:0005730', 'GO:0001227', 'GO:0006111', 'GO:0003700', 'GO:0005634', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q9BU40	Chordin-like protein 1	{'GO:0032502', 'GO:0030154', 'GO:0036122', 'GO:0001654', 'GO:0005576', 'GO:0005788', 'GO:0030514'}
Q9BUA6	Myosin regulatory light chain 10	{'GO:0005829', 'GO:0005509', 'GO:0005739', 'GO:0005737', 'GO:0005515'}
Q9BUH8	Brain-enriched guanylate kinase-associated protein	{'GO:0098794', 'GO:0098817', 'GO:0016020', 'GO:0005737', 'GO:0045202', 'GO:0005515'}
Q9BUY5	Zinc finger protein 426	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q9BUZ4	TNF receptor-associated factor 4	{'GO:0031625', 'GO:0005654', 'GO:0061630', 'GO:0005886', 'GO:0035591', 'GO:0019901', 'GO:0008270', 'GO:0045860', 'GO:0005829', 'GO:0007165', 'GO:0046872', 'GO:0046330', 'GO:0042802', 'GO:0019899', 'GO:0005737', 'GO:0005515', 'GO:0031996', 'GO:0050699', 'GO:0043161', 'GO:0043122', 'GO:0005856', 'GO:0048471', 'GO:0001650', 'GO:0007166', 'GO:0005164', 'GO:0005634', 'GO:0005923', 'GO:0042981'}
Q9BV87	Protein CNPPD1	{'GO:0000307', 'GO:0016538', 'GO:0019901', 'GO:0005634', 'GO:0016020'}
Q9BVC3	Sister chromatid cohesion protein DCC1	{'GO:0000775', 'GO:0034088', 'GO:0006275', 'GO:0034421', 'GO:0017116', 'GO:1900264', 'GO:0000785', 'GO:0005634', 'GO:0006260', 'GO:0005515', 'GO:0003689', 'GO:0005654', 'GO:0031390', 'GO:0007064'}
Q9BWE0	DNA-binding protein REPIN1	{'GO:0000978', 'GO:0001228', 'GO:0005829', 'GO:0003723', 'GO:0043565', 'GO:0045944', 'GO:0005634', 'GO:0031965', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:2000191'}
Q9BWF3	RNA-binding protein 4	{'GO:0003730', 'GO:0000381', 'GO:0036002', 'GO:0006396', 'GO:0003723', 'GO:0097157', 'GO:0008270', 'GO:0045947', 'GO:0035198', 'GO:0003729', 'GO:0035278', 'GO:0005737', 'GO:0002190', 'GO:0032055', 'GO:0002192', 'GO:0005515', 'GO:0010494', 'GO:0007623', 'GO:0005730', 'GO:0048471', 'GO:0043153', 'GO:0016607', 'GO:0046685', 'GO:0030332', 'GO:0017148', 'GO:0097167', 'GO:0003676', 'GO:0005634', 'GO:0046822', 'GO:0005654', 'GO:0097158', 'GO:0051149'}
Q9BWM5	Zinc finger protein 416	{'GO:0000978', 'GO:0045893', 'GO:0006355', 'GO:0072537', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0001216', 'GO:0006357', 'GO:0048144'}
Q9BWW7	Transcriptional repressor scratch 1	{'GO:0000978', 'GO:1990837', 'GO:0000977', 'GO:0000122', 'GO:0006355', 'GO:0001227', 'GO:0043565', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0016604'}
Q9BWX5	Transcription factor GATA-5	{'GO:0045893', 'GO:0062000', 'GO:0045747', 'GO:0043565', 'GO:0008270', 'GO:0010628', 'GO:0000978', 'GO:0003677', 'GO:0009653', 'GO:0000785', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0010629', 'GO:0045944', 'GO:0048738', 'GO:0045165', 'GO:0010614', 'GO:0003180', 'GO:0000987', 'GO:0009888', 'GO:1990837', 'GO:0000122', 'GO:0007507', 'GO:0006355', 'GO:0030154', 'GO:0003700', 'GO:0005634', 'GO:0000976', 'GO:0003274', 'GO:0003129', 'GO:0005654', 'GO:0060575'}
Q9BX73	TM2 domain-containing protein 2	{'GO:0004930', 'GO:0045747', 'GO:0007165', 'GO:0007186', 'GO:0016020', 'GO:0005515'}
Q9BX74	TM2 domain-containing protein 1	{'GO:0004930', 'GO:0005886', 'GO:0045747', 'GO:0097190', 'GO:0007186', 'GO:0016020', 'GO:0001540', 'GO:0005515'}
Q9BX82	Zinc finger protein 471	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q9BXB1	Leucine-rich repeat-containing G protein-coupled receptor 4	{'GO:0120163', 'GO:0090190', 'GO:0005886', 'GO:0072224', 'GO:0030177', 'GO:0016500', 'GO:0004930', 'GO:0001818', 'GO:0004888', 'GO:0005515', 'GO:0090263', 'GO:0007623', 'GO:0007186', 'GO:0030282', 'GO:0016020', 'GO:0046849', 'GO:0034122', 'GO:0072282', 'GO:0001649', 'GO:0007283', 'GO:0032922'}
Q9BXB4	Oxysterol-binding protein-related protein 11	{'GO:0005829', 'GO:0031902', 'GO:0005802', 'GO:0045444', 'GO:0160270', 'GO:7770015', 'GO:0070328', 'GO:0005794', 'GO:0008289', 'GO:0016020', 'GO:0055091', 'GO:0032934', 'GO:0006649', 'GO:0097212', 'GO:0120009', 'GO:0005515', 'GO:0005765', 'GO:0160258'}
Q9BXR6	Complement factor H-related protein 5	{'GO:0006956', 'GO:0045917', 'GO:0001851', 'GO:0032991', 'GO:0046982', 'GO:0042802', 'GO:0005576', 'GO:0005515', 'GO:0006957'}
Q9BY15	Adhesion G protein-coupled receptor E3	{'GO:0004930', 'GO:0030667', 'GO:0005886', 'GO:0007166', 'GO:0004888', 'GO:0007186', 'GO:0005509', 'GO:0016020', 'GO:0005576', 'GO:0101003'}
Q9BY31	Zinc finger protein 717	{'GO:0000122', 'GO:0006355', 'GO:0045892', 'GO:0005634', 'GO:0000976', 'GO:0005737'}
Q9BY79	Membrane frizzled-related protein	{'GO:0005515', 'GO:0016020', 'GO:0009792', 'GO:0016324'}
Q9BYN7	Zinc finger protein 341	{'GO:0000978', 'GO:0003677', 'GO:0045893', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0001216', 'GO:0005515', 'GO:0006357'}
Q9BYZ6	Rho-related BTB domain-containing protein 2	{'GO:0007015', 'GO:0005886', 'GO:0019901', 'GO:0010008', 'GO:0031410', 'GO:0031463', 'GO:0008360', 'GO:0003925', 'GO:0006511', 'GO:0007165', 'GO:0032956', 'GO:0005515', 'GO:0003924', 'GO:0030865', 'GO:0005856', 'GO:0016567', 'GO:1990756', 'GO:0005525', 'GO:0007163'}
Q9BZ11	Disintegrin and metalloproteinase domain-containing protein 33	{'GO:0006508', 'GO:0004222', 'GO:0005886', 'GO:0008270', 'GO:0016020', 'GO:0005515', 'GO:0008237'}
Q9BZE0	Zinc finger protein GLIS2	{'GO:0000978', 'GO:0001228', 'GO:0003677', 'GO:1990837', 'GO:0000977', 'GO:0000122', 'GO:0045879', 'GO:0045893', 'GO:0045892', 'GO:0001227', 'GO:0045944', 'GO:0005634', 'GO:0000981', 'GO:0000976', 'GO:0005737', 'GO:0005515', 'GO:0016607', 'GO:0097730'}
Q9BZR9	E3 ubiquitin-protein ligase TRIM8	{'GO:0061630', 'GO:0042803', 'GO:0044790', 'GO:0045893', 'GO:0010508', 'GO:0008270', 'GO:0003713', 'GO:0140374', 'GO:0005829', 'GO:0043123', 'GO:0046597', 'GO:0042802', 'GO:0005737', 'GO:0016605', 'GO:0016604', 'GO:0005515', 'GO:0070534', 'GO:0016567', 'GO:0005634', 'GO:0005654', 'GO:0007249'}
Q9C019	E3 ubiquitin-protein ligase TRIM15	{'GO:0061630', 'GO:0044790', 'GO:0045893', 'GO:0008270', 'GO:0005925', 'GO:0045087', 'GO:0003713', 'GO:0140374', 'GO:0140313', 'GO:0046872', 'GO:0005737', 'GO:0005515', 'GO:1901223', 'GO:0062208', 'GO:1900246', 'GO:0007500', 'GO:0005634', 'GO:0032481', 'GO:1901253'}
Q9C026	E3 ubiquitin-protein ligase TRIM9	{'GO:0061630', 'GO:0043161', 'GO:0042803', 'GO:0030425', 'GO:0005856', 'GO:0019904', 'GO:0046872', 'GO:0008270', 'GO:0016567', 'GO:0005737', 'GO:0008021', 'GO:0045202', 'GO:0005515'}
Q9C037	E3 ubiquitin-protein ligase TRIM4	{'GO:0005829', 'GO:0061630', 'GO:0004842', 'GO:0008270', 'GO:0042802', 'GO:0016567', 'GO:0005737', 'GO:0045087', 'GO:0010468'}
Q9C040	Tripartite motif-containing protein 2	{'GO:0061630', 'GO:0043161', 'GO:0004842', 'GO:0008270', 'GO:0043523', 'GO:0016567', 'GO:0005737', 'GO:0005515', 'GO:0000209'}
Q9C0B0	RING finger protein unkempt homolog	{'GO:0005829', 'GO:0043022', 'GO:0003723', 'GO:0046872', 'GO:1990715', 'GO:0005737', 'GO:2000766', 'GO:0048667'}
Q9C0F3	Zinc finger protein 436	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q9C0K0	B-cell lymphoma/leukemia 11B	{'GO:0000978', 'GO:0001228', 'GO:1990837', 'GO:0097535', 'GO:0016514', 'GO:0005515', 'GO:0043565', 'GO:0003700', 'GO:0005634', 'GO:0043005', 'GO:0045944', 'GO:0006357', 'GO:0005654', 'GO:0035701'}
Q9GZM7	Tubulointerstitial nephritis antigen-like	{'GO:0005201', 'GO:0005773', 'GO:0031012', 'GO:0016197', 'GO:0005737', 'GO:0005576', 'GO:0070062', 'GO:0005515', 'GO:0043236', 'GO:0140149'}
Q9GZU1	Mucolipin-1	{'GO:0090382', 'GO:0031902', 'GO:0097708', 'GO:0005886', 'GO:0005267', 'GO:0071277', 'GO:0010008', 'GO:0099604', 'GO:0030670', 'GO:0071467', 'GO:0005770', 'GO:0034755', 'GO:0098655', 'GO:0042802', 'GO:0005515', 'GO:0006882', 'GO:1901660', 'GO:0005381', 'GO:0005261', 'GO:0019722', 'GO:0035725', 'GO:0072345', 'GO:0033572', 'GO:0051289', 'GO:0016020', 'GO:0005765', 'GO:1905673', 'GO:0006812', 'GO:0005262', 'GO:0097682', 'GO:0071805', 'GO:0098656', 'GO:0005253', 'GO:0005764', 'GO:0070588', 'GO:0005272', 'GO:0001891', 'GO:0030659', 'GO:0043235'}
Q9GZX5	Zinc finger protein 350	{'GO:0000978', 'GO:0003677', 'GO:1990837', 'GO:0000122', 'GO:0001162', 'GO:0006355', 'GO:0045892', 'GO:0001227', 'GO:0003700', 'GO:0005634', 'GO:0017053', 'GO:0016363', 'GO:0016604', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q9H000	E3 ubiquitin-protein ligase makorin-2	{'GO:0061630', 'GO:0006511', 'GO:0003723', 'GO:0045944', 'GO:0046872', 'GO:0006351', 'GO:0005634', 'GO:0016567', 'GO:0005737', 'GO:0002862', 'GO:0043491', 'GO:0005515', 'GO:1901223', 'GO:0000209'}
Q9H013	Disintegrin and metalloproteinase domain-containing protein 19	{'GO:0006509', 'GO:0004222', 'GO:0005515', 'GO:0005886', 'GO:0031012', 'GO:0042987', 'GO:0005634', 'GO:0016020', 'GO:2000049', 'GO:0016485', 'GO:0006508', 'GO:0008237', 'GO:0001890', 'GO:0010628'}
Q9H091	Zinc finger MYND domain-containing protein 15	{'GO:0045892', 'GO:0005634', 'GO:0005737', 'GO:0007286', 'GO:0042826'}
Q9H0B8	Cysteine-rich secretory protein LCCL domain-containing 2	{'GO:0005539', 'GO:1904813', 'GO:0140149', 'GO:0031012', 'GO:0030324', 'GO:0030133', 'GO:0060325', 'GO:0034774', 'GO:0008201', 'GO:0005576', 'GO:0070062', 'GO:0060090'}
