Only by Iupred2a	Common proteins	Only by Aiupred
	Q6P9A3	Q5T8I9
	Q6UWJ8	Q6ZQN5
	Q6UXZ4	Q8N4P6
	Q6ZNM6	Q92616
	Q8NC26	Q9H0B6
	Q8TE82	Q9Y5F1
	Q92466	Q9Y6X3
	Q96T51	A8K0S8
	Q9GZZ7	O60449
	Q9H1U4	O95157
	Q9HB63	P52849
	Q9UGR2	Q01524
	A6NM11	Q5VT06
	O75147	Q658L1
	O75369	Q674R7
	O75792	Q6PIW4
	O94842	Q8N5U1
	P08294	Q8NHU2
	P24821	Q8TAK6
	P42694	Q92997
	P52735	Q9GZX3
	P78325	Q9NZ08
	Q17R60	O75161
	Q4KMG9	O95164
	Q4VX76	O95475
	Q5JVG8	P48052
	Q8IWN7	P68032
	Q96QT4	Q12967
	Q9BQG2	Q15109
	Q9BSG5	Q6W2J9
	Q9H3R0	Q86WS5
	Q9NY12	Q8WXI7
	Q9P0T4	Q96K31
	Q9ULJ7	O15482
	Q9Y3Y4	O75771
	A6NCL2	O95025
	B2RXF5	P20929
	O15105	P22455
	O94964	P46013
	P0DTL6	P55199
	P49116	Q14566
	Q02487	Q5JU85
	Q14515	Q6UWE3
	Q3ZLR7	Q86UE8
	Q5T1J5	Q8N1G2
	Q6EMK4	Q8N3C0
	Q6NXP0	Q9BTP6
	Q6ZNA4	Q9BWP8
	Q7Z698	Q9HBA0
	Q86TM6	Q9P2G3
	Q8IYR6	Q9UKA8
	Q8N1F8	Q9Y4P8
	Q8N782	O94885
	Q8NDY4	P08123
	Q92766	P61236
	Q96RW7	P62906
	Q9C029	Q06330
	Q9UIG8	Q6ZMT9
	Q9UJW7	Q7Z5J8
	Q9ULV8	Q8WVZ1
	Q9UPW8	Q96NC0
	Q9Y2K7	Q9NUX5
	Q9Y6N6	Q9UKC9
	Q9Y6R7	A0A2R8YCY7
	A2PYH4	O75023
	P08861	O75569
	P56975	P23786
	P60372	P26583
	Q15633	P78413
	Q1L5Z9	Q6UVK1
	Q5HYJ3	Q6ZW97
	Q5SYB0	Q8NFM7
	Q5U5Q3	Q8NFW9
	Q71RG6	Q8TEY5
	Q7Z7K0	Q9GZL7
	Q86T13	Q9UBT7
	Q8IUX8	H0Y7S4
	Q8IVN8	O75593
	Q8IZL8	P01705
	Q8TE58	P10144
	Q9BS31	Q13349
	Q9BYT5	Q5XX13
	A0JNW5	Q6UXL0
	D6RIA3	Q6XQN6
	O15534	Q92771
	O76050	Q96NU7
	P15918	Q96QD9
	P30260	Q99743
	P49790	Q9P2D1
	P49863	Q9Y5E8
	P52743	A0A0C4DH59
	P59990	O00584
	Q14872	O94779
	Q8NAC3	P28069
	Q99102	P28329
	Q9C0K0	P31639
	Q9H7Z3	P43243
	Q9H871	Q01546
	Q9NRC6	Q3LHN1
	Q9NSC2	Q5SQH8
	Q9NYP9	Q6ZNX1
	O43854	Q7Z4W2
	O60259	Q7Z6M4
	P31689	Q8N109
	Q07352	Q9BTE3
	Q6PJF5	Q9BZQ2
	Q6PJT7	Q9NQC7
	Q6UX82	Q9UIU6
	Q6VVB1	Q9UL52
	Q86SG6	O75157
	Q8IW19	P18146
	Q8IZC7	P29803
	Q8N9K5	Q14151
	Q8WUP2	Q496A3
	Q96H15	Q5VT97
	Q96PX6	Q8N0V4
	Q9H2X0	Q8N568
	Q9HAZ2	Q8N688
	Q9HCM2	Q8NG50
	Q9NVW2	Q8TBF4
	Q9NX94	Q9BXA6
	Q9UBC3	Q9H2A2
	Q9ULJ3	Q9HAT1
	Q9UPA5	Q9P260
	Q9UQR1	Q9Y458
	O43463	A4UGR9
	O95180	O15460
	O95625	P00558
	P02749	P11465
	P04004	P57081
	P41229	Q15048
	P48059	Q6ICH7
	P49754	Q7Z7J5
	Q13231	Q8NDZ0
	Q14061	Q99497
	Q16270	Q9GZR2
	Q16609	Q9NZP6
	Q2M3C7	Q9P2N6
	Q30KQ4	O00409
	Q5JQC9	P08651
	Q86V15	P15529
	Q8NAX2	P28328
	Q8NDL9	P29558
	Q92824	Q0VF96
	Q96JI7	Q15390
	Q9H6R6	Q53H76
	Q9NT68	Q6ZSM3
	Q9NZC7	Q8N687
	Q9P0P0	Q8NI17
	Q9UGK8	Q96AE7
	Q9UIW2	Q9NT62
	Q9UK39	Q9Y2G2
	Q9Y5A6	O00204
	Q9Y5B8	O75106
	A6NFZ4	P07902
	O75478	P19113
	O95813	P35498
	P04054	P50458
	P04233	P55795
	P13056	Q5VT98
	P24043	Q6K0P9
	P24592	Q7Z5U6
	P36897	Q96JC9
	P40394	Q9NS39
	P56192	Q9NZL6
	Q13572	Q9UN36
	Q13875	O43166
	Q2UY09	P78316
	Q3KNT7	Q16538
	Q68DY9	Q6ZUG5
	Q6XR72	Q86W42
	Q76KX8	Q9BT09
	Q8IXR5	Q9BYZ6
	Q8TAT5	Q9P227
	Q96CK0	Q9ULT8
	Q96MM3	
	Q96QF0	
	Q96SR6	
	Q9P2Z0	
	A6NP61	
	O43623	
	O75949	
	O76074	
	O95081	
	O95190	
	O95600	
	P05106	
	P05997	
	P17026	
	P41439	
	P42127	
	P43354	
	Q2I0M5	
	Q3C1V9	
	Q3ZCX4	
	Q6P4I2	
	Q7RTZ1	
	Q7Z3S9	
	Q92619	
	Q96C12	
	Q9BZJ3	
	Q9GZM7	
	Q9NS23	
	Q9ULL8	
	A2RUU4	
	A8MTQ0	
	O43865	
	O60320	
	O75558	
	O75829	
	O95409	
	P07911	
	P29317	
	P48443	
	P54317	
	P60371	
	Q5SNT2	
	Q5VUJ5	
	Q5XPI4	
	Q6UWH4	
	Q8NFU7	
	Q8WWA0	
	Q99965	
	Q9H2R5	
	Q9H422	
	Q9P2P6	
	Q9UM82	
	A6NFI3	
	A6NKB5	
	A7MBM2	
	O60486	
	O95256	
	O95271	
	P0C7M6	
	P0DKX0	
	P14679	
	P21506	
	P35125	
	P47974	
	Q03181	
	Q03938	
	Q16589	
	Q53H47	
	Q5MJ68	
	Q5T4H9	
	Q5VV63	
	Q86T96	
	Q86VH5	
	Q86Y97	
	Q8TAA1	
	Q92664	
	Q96JH7	
	Q9BV36	
	Q9H0H5	
	Q9HA38	
	O75578	
	O95639	
	P13671	
	P26012	
	P36894	
	P43403	
	Q14192	
	Q15195	
	Q2TAL6	
	Q6FIF0	
	Q8IW52	
	Q92610	
	Q92830	
	Q99795	
	A8K7I4	
	B1AL88	
	P02751	
	P05111	
	P29400	
	P49746	
	Q49A33	
	Q6AZY7	
	Q6ZTA4	
	Q86X02	
	Q8IX07	
	Q8N957	
	Q8NHM5	
	Q8TAU3	
	Q8WYN3	
	Q92570	
	Q92784	
	Q9HB58	
	Q9NU22	
	Q9UK12	
	Q9Y3L5	
	Q9Y5K3	
	J3KSC0	
	O43897	
	O75290	
	O75469	
	P0C5Y4	
	P17010	
	P23142	
	P35556	
	P59037	
	P78358	
	Q86Y13	
	Q8IUK5	
	Q8WV44	
	Q96BQ3	
	Q96C10	
	Q9H2S9	
	Q9NWK9	
	Q9UC06	
	Q9UFB7	
	Q9Y4W2	
	Q9Y6M5	
	A0AAG2UUX9	
	O14798	
	O75030	
	O95867	
	P0C7V6	
	P0CG38	
	Q06481	
	Q7Z4K8	
	Q86UW9	
	Q8TAQ5	
	Q8TF32	
	Q96C01	
	Q96DT7	
	Q96MN9	
	Q96PH6	
	Q9H0M5	
	Q9H6P5	
	Q9NZV6	
	Q9Y2I6	
	A8MXD5	
	O60481	
	P20333	
	Q01113	
	Q12968	
	Q13219	
	Q13444	
	Q14767	
	Q5JRC9	
	Q5SR53	
	Q8IUC0	
	Q8N7C3	
	Q8ND82	
	Q8TAT2	
	Q92935	
	Q96ND8	
	Q9UBN7	
	Q9Y2F5	
	C9JPN9	
	O43916	
	O95389	
	P48740	
	P62979	
	Q2MKA7	
	Q5CZA5	
	Q5T0T0	
	Q92793	
	Q96A84	
	Q96BR6	
	Q96MA1	
	Q9HAV5	
	Q9UGI0	
	Q9UP38	
	P08572	
	P08575	
	P11678	
	P17544	
	Q14527	
	Q6IA86	
	Q8NCR6	
	Q8TBZ8	
	Q8WTW4	
	Q8WXT5	
	Q96MP5	
	Q9HCL0	
	Q9NR97	
	Q9NZJ0	
	Q9UKF2	
	Q9Y3S1	
	Q9Y6Q6	
	A0A1W2PQL4	
	A8K8V0	
	O76071	
	P20851	
	P22888	
	P39060	
	Q13023	
	Q30KQ7	
	Q4LDE5	
	Q5HYK9	
	Q5QP82	
	Q5VUA4	
	Q7RTZ2	
	Q7Z2W4	
	Q8N323	
	Q8N9V7	
	Q8NC06	
	Q92796	
	Q96DX7	
	Q96PE2	
	Q96S99	
	Q9BVG3	
	Q9NPF7	
	Q9UJJ7	
	A5A3E0	
	D6RBM5	
	G3V0H7	
	O75636	
	P12724	
	P41223	
	P52757	
	P60321	
	P80294	
	P82663	
	Q03001	
	Q03395	
	Q4ZG55	
	Q5VTB9	
	Q6MZW2	
	Q8N4A0	
	Q96A61	
	Q96EP1	
	O14514	
	O75123	
	O75197	
	P04141	
	P17022	
	P26358	
	P83110	
	Q15751	
	Q6ZNB6	
	Q86TG1	
	Q8IUB5	
	Q8IUC1	
	Q8NA92	
	Q8WZ42	
	Q9H6Y7	
	Q9NQ75	
	Q9NS62	
	Q9NUD5	
	Q9UF33	
	Q9UKK9	
	A6NMK8	
	A6NNY8	
	O14607	
	O15232	
	O75170	
	P17936	
	P18564	
	P33076	
	P35869	
	P98155	
	Q15582	
	Q52LG2	
	Q5T1N1	
	Q5T9A4	
	Q6PEZ8	
	Q86XD8	
	Q8N448	
	Q8TF68	
	Q96CB8	
	Q96MX3	
	Q9C0B0	
	Q9HCG1	
	Q9P2F5	
	Q9UJN7	
	Q9UKA1	
	Q9Y4C1	
	A0A7I2V3R4	
	C9J6K1	
	O00634	
	O43294	
	O95561	
	P07602	
	P0CG37	
	P24593	
	Q02325	
	Q07444	
	Q1XH10	
	Q5T5N4	
	Q86SQ7	
	Q8N567	
	Q96KG7	
	Q96NZ8	
	Q96RY5	
	Q9BRA0	
	Q9H000	
	Q9H963	
	A6NK75	
	O43559	
	O95185	
	P07998	
	P0CG40	
	P19474	
	P28562	
	P63145	
	P98160	
	Q14532	
	Q5QGT7	
	Q6V0I7	
	Q7Z569	
	Q8IYB9	
	Q8N130	
	Q8WUY3	
	Q9BSW7	
	Q9H1R3	
	Q9UHC9	
	Q9UIS9	
	Q9UKN1	
	Q9ULD4	
	Q9Y2X9	
	O76061	
	P05129	
	P07320	
	P13611	
	Q07654	
	Q14332	
	Q15846	
	Q5SVQ8	
	Q5VZF2	
	Q6XUX3	
	Q6ZMS7	
	Q7Z5A9	
	Q86W11	
	Q8N3H0	
	Q8TA94	
	Q8WWY7	
	Q9HAK2	
	Q9NQC1	
	Q9NRH1	
	Q9NWF9	
	Q9P2J8	
	A0A1B0GUV7	
	A1A519	
	A8MQ27	
	O15204	
	O95365	
	O96014	
	P17041	
	P56704	
	Q06278	
	Q14114	
	Q6PJ61	
	Q6ZMJ2	
	Q6ZN57	
	Q8IVT5	
	Q8NFZ0	
	Q8TBE0	
	Q8WW18	
	Q96AC6	
	Q96N95	
	Q96PE1	
	Q96RL6	
	Q99571	
	Q9BXS4	
	Q9Y4F4	
	A6NCW0	
	B7ZBB8	
	P07316	
	P24386	
	P50479	
	Q13191	
	Q13342	
	Q14641	
	Q17RM4	
	Q68BL8	
	Q86Y26	
	Q8IY22	
	Q8NBK3	
	Q8NCF0	
	Q9H1J7	
	Q9H930	
	Q9NV96	
	Q9Y467	
	Q9Y4J8	
	Q9Y5W9	
	O75610	
	O76080	
	P10253	
	P13631	
	Q02086	
	Q15940	
	Q16342	
	Q6PEW1	
	Q6UXC1	
	Q8IYN0	
	Q8N398	
	Q8N8B7	
	Q8TF20	
	Q96EP0	
	Q9H165	
	Q9H9L4	
	Q9HBV2	
	Q9P2D6	
	A2RRH5	
	P08912	
	P53672	
	Q13753	
	Q1L6U9	
	Q6IV72	
	Q86YD5	
	Q8N565	
	Q8NFT8	
	Q8TDW7	
	Q92561	
	Q92794	
	Q96D59	
	Q96MM7	
	Q9BRP0	
	Q9GZP0	
	Q9H633	
	Q9NQL9	
	Q9NU63	
	Q9Y4X5	
	A1L020	
	A6NCK2	
	M0QZC1	
	P06870	
	P15924	
	P17024	
	P36954	
	Q53GG5	
	Q5VVJ2	
	Q6ZMT4	
	Q6ZSA7	
	Q86UP0	
	Q86W25	
	Q86YE8	
	Q8NE35	
	Q8TAV5	
	Q8TEU8	
	Q8WZ74	
	Q9BQ24	
	Q9GZX9	
	Q9UHX3	
	Q9UIF7	
	O75164	
	O95390	
	P04626	
	P21333	
	Q09FC8	
	Q14847	
	Q3KNW1	
	Q86WI1	
	Q86YC2	
	Q8N428	
	Q8N907	
	Q8N9I9	
	Q8TAW3	
	Q96PQ6	
	Q96RR4	
	Q9BRR0	
	Q9NRY7	
	Q9Y6R6	
	A1L4H1	
	D6R9N7	
	O43167	
	O95125	
	P00736	
	P0DP72	
	P19957	
	P80297	
	P98169	
	Q12841	
	Q14162	
	Q14833	
	Q2M1K9	
	Q5JRS4	
	Q5T619	
	Q6PCD5	
	Q6UXG2	
	Q7RTX1	
	Q8IWE5	
	Q8IWY9	
	Q8IYH5	
	Q8N3G9	
	Q8NFH8	
	Q92626	
	Q96L73	
	Q96PV7	
	Q96SK3	
	Q99952	
	Q9HBK9	
	A8MUV8	
	C0HM98	
	O15327	
	O75679	
	O94823	
	O95925	
	P0CG00	
	P17948	
	P19883	
	P35916	
	P41743	
	Q03164	
	Q12986	
	Q3LI77	
	Q5R387	
	Q6Q0C1	
	Q6ZSS3	
	Q70CQ4	
	Q7RTX0	
	Q7Z5L2	
	Q86VV4	
	Q8WW22	
	Q96GN5	
	Q9H2X6	
	O15118	
	O95235	
	P06401	
	P07988	
	P0DPK4	
	P10588	
	P17252	
	Q13507	
	Q2VPA4	
	Q52LW3	
	Q6P9G9	
	Q75N90	
	Q8N9W4	
	Q96GC6	
	Q99727	
	Q9BWE0	
	Q9H3S1	
	Q9NR96	
	Q9UBV4	
	Q9Y4D7	
	Q9Y5F6	
	A2RU30	
	A6NNE9	
	O60840	
	P01042	
	P16581	
	P17038	
	P52741	
	P62633	
	Q02556	
	Q15113	
	Q53H54	
	Q8NDQ6	
	Q92673	
	Q96JB8	
	Q9H2K2	
	Q9UI38	
	Q9ULZ0	
	A8MU10	
	O43157	
	P01857	
	P19438	
	Q04756	
	Q07617	
	Q14524	
	Q1T7F1	
	Q6IE81	
	Q6ZVH6	
	Q75VX8	
	Q86TH1	
	Q8IU80	
	Q96FX2	
	Q96M96	
	Q9H0D2	
	Q9H379	
	Q9HBW9	
	Q9N2J8	
	Q9NQ69	
	Q9NV66	
	Q9Y6F9	
	A0A087WUV0	
	P14616	
	P37275	
	Q00604	
	Q32M78	
	Q494W8	
	Q6UXB4	
	Q86UY6	
	Q86XX4	
	Q8N0W7	
	Q8N3Z6	
	Q8N9F8	
	Q8NB78	
	Q8NFU1	
	Q8WW14	
	Q96FN5	
	Q9BY78	
	Q9BZM2	
	Q9C0A1	
	Q9NR56	
	Q9NRH2	
	Q9NXR5	
	Q9P283	
	Q9UGT4	
	Q9UPZ6	
	Q9Y2E6	
	A0A096LPI5	
	B8ZZ34	
	O15062	
	O43462	
	P11473	
	P13612	
	P14314	
	P50876	
	Q12766	
	Q6F5E8	
	Q6NZY4	
	Q6P1R4	
	Q6ZW61	
	Q86WS4	
	Q8N2I2	
	Q8N841	
	Q8TE59	
	Q9BYR9	
	Q9H5Y7	
	Q9HCG7	
	Q9Y2H6	
	A6NIE9	
	O60315	
	O75718	
	P07477	
	P20933	
	P60323	
	Q08554	
	Q13797	
	Q14943	
	Q53TQ3	
	Q5T5M9	
	Q5VWN6	
	Q7Z5L7	
	Q86UR5	
	Q8N6D2	
	Q8TCF1	
	Q8WTX9	
	Q9BW71	
	Q9H693	
	Q9HD89	
	Q9P281	
	Q9UGP4	
	Q9Y6Y1	
	A0PJY2	
	O00468	
	O15209	
	O60279	
	O94989	
	P55268	
	P60002	
	P60413	
	Q03924	
	Q5JY77	
	Q6XXX2	
	Q86UP6	
	Q8IY92	
	Q8N2E2	
	Q8N8E2	
	Q8NBA8	
	Q96FC7	
	Q96G75	
	Q96IU2	
	Q96M86	
	Q99572	
	Q9NTW7	
	Q9P0G3	
	Q9Y5W3	
	A6NIN4	
	B4DXR9	
	O94761	
	P00742	
	P02675	
	P11717	
	P15172	
	P15822	
	P29376	
	P49792	
	Q02446	
	Q32MQ0	
	Q3BBV0	
	Q5VY43	
	Q6UWN8	
	Q8N114	
	Q8NEP7	
	Q8TAD2	
	Q96CW9	
	Q96NG8	
	Q96PE3	
	Q99592	
	Q9GZX5	
	Q9H7T0	
	Q9UIG0	
	Q9UQ49	
	Q9Y6N7	
	A0A0U1RQI7	
	A0A286YF58	
	O14802	
	O60269	
	O75116	
	O75677	
	P08582	
	P08603	
	P17021	
	P41180	
	P49023	
	P51797	
	Q13049	
	Q68EA5	
	Q6PKC3	
	Q6R2W3	
	Q7Z340	
	Q86TI0	
	Q8N6M9	
	Q8WXA3	
	Q92753	
	Q96RG2	
	Q99741	
	Q9H175	
	Q9UIM3	
	Q9ULB1	
	A6ND01	
	P02771	
	P06127	
	P08581	
	P08922	
	P36382	
	P54289	
	Q14592	
	Q15569	
	Q2KHM9	
	Q2M3X9	
	Q3MJ13	
	Q53GI3	
	Q6ZN06	
	Q6ZN17	
	Q701N2	
	Q7Z5A8	
	Q8NCG7	
	Q8TAL5	
	Q99466	
	Q9BYJ4	
	Q9UBG0	
	O43396	
	O94955	
	O95613	
	O95789	
	P08519	
	P12544	
	P21757	
	P51168	
	P83105	
	Q02747	
	Q2MJR0	
	Q6PCT2	
	Q6PJ69	
	Q6UXB1	
	Q86XN6	
	Q8WW36	
	Q96QP1	
	Q99496	
	Q9NS56	
	Q9NSE4	
	Q9NUA8	
	Q9UKW4	
	Q9Y2I8	
	A6NI03	
	O75592	
	P12757	
	P17020	
	P28907	
	P51843	
	P59510	
	Q03989	
	Q14435	
	Q15181	
	Q5TAG4	
	Q6PFW1	
	Q6WRI0	
	Q86UT5	
	Q8IYI8	
	Q8NCT1	
	Q8WYB5	
	Q93083	
	Q96PU4	
	Q9BU70	
	Q9H3T2	
	Q9NVH0	
	O43657	
	O95239	
	P08151	
	P13987	
	P54760	
	P58317	
	Q2TB10	
	Q5SRR4	
	Q6P280	
	Q6V9R5	
	Q8NG35	
	Q8TAT6	
	Q96RK0	
	Q9BQA5	
	Q9H2H0	
	Q9NQ36	
	Q9UFC0	
	Q9UPW5	
	Q9Y3S2	
	O94972	
	P16422	
	P17643	
	P52429	
	Q10571	
	Q13467	
	Q13936	
	Q53SZ7	
	Q5H9S7	
	Q5VV16	
	Q86Y78	
	Q8NBV8	
	Q8NCV1	
	Q8TCT0	
	Q96IF1	
	Q96PX8	
	Q99708	
	Q9H4Z2	
	Q9NSD4	
	A6NIR3	
	O95206	
	P04118	
	P37023	
	P78509	
	Q12947	
	Q14126	
	Q3MJ62	
	Q53RD9	
	Q6N022	
	Q6ZQQ2	
	Q9H6U6	
	Q9NP64	
	Q9NX31	
	Q9UBR2	
	Q9Y676	
	A2RRP1	
	A6NIX2	
	O14771	
	O15090	
	O75096	
	O95407	
	O95477	
	P00746	
	P27037	
	Q12815	
	Q13228	
	Q2M2H8	
	Q5JPB2	
	Q5T197	
	Q6AW86	
	Q7RTV0	
	Q7Z398	
	Q7Z444	
	Q86UQ4	
	Q8IVF5	
	Q8IY17	
	Q8IYP9	
	Q8N135	
	Q8N3S3	
	Q8NHV1	
	Q96IQ9	
	Q96K58	
	Q96M02	
	Q9C091	
	A6NJB7	
	B4DS77	
	O95696	
	P04637	
	P05019	
	P05164	
	P27540	
	P40238	
	P49639	
	P55160	
	Q05086	
	Q14643	
	Q16670	
	Q16820	
	Q16821	
	Q3LI76	
	Q56UN5	
	Q5T6X5	
	Q658N2	
	Q6PGQ1	
	Q86UD1	
	Q8NG06	
	Q9H707	
	Q9ULD2	
	O00311	
	O14672	
	O43316	
	P35443	
	Q13887	
	Q14593	
	Q14CW9	
	Q3ZCN5	
	Q5GFL6	
	Q63HN8	
	Q6AZW8	
	Q6NX45	
	Q6UXB3	
	Q96N21	
	Q96PX9	
	Q9BSJ5	
	Q9H5J0	
	Q9UGM3	
	Q9UKN5	
	Q9UPP2	
	Q9Y3M9	
	Q9Y4D2	
	Q9Y6Q3	
	O14628	
	O60384	
	O75077	
	O76076	
	O96008	
	P16144	
	P41002	
	Q3LI81	
	Q6ZRC1	
	Q6ZST2	
	Q70CQ1	
	Q76NI1	
	Q86YB8	
	Q8TB03	
	Q8TE23	
	Q93038	
	Q96B86	
	Q96NS8	
	Q9H2S6	
	Q9Y5J9	
	A0A1B0GTU1	
	A6NHJ4	
	A6NNM8	
	O95201	
	P01189	
	P30203	
	P36406	
	P60014	
	Q14031	
	Q15696	
	Q3KP31	
	Q4G0G2	
	Q5TH74	
	Q5VTM2	
	Q66K79	
	Q6NX49	
	Q6PJ21	
	Q6WN34	
	Q7LFL8	
	Q7Z2Z2	
	Q86TG7	
	Q8IYX4	
	Q8IZ13	
	Q8N144	
	Q8N2Y8	
	Q8N3X6	
	Q8NG41	
	Q9HAT8	
	Q9NR48	
	Q9NR83	
	Q9P273	
	B2RUY7	
	O14827	
	O60304	
	P0C869	
	P0CG39	
	Q14147	
	Q14161	
	Q15003	
	Q6FHJ7	
	Q6GQQ9	
	Q71UM5	
	Q7L945	
	Q86SE9	
	Q8NAP3	
	Q8NF99	
	Q8WVD3	
	Q8WWY8	
	Q99567	
	Q9P2E7	
	Q9UJQ4	
	Q9UPT9	
	Q9Y2L1	
	Q9Y577	
	A6NJL1	
	O14793	
	O60284	
	O75084	
	P17097	
	P51575	
	P62987	
	Q53FE4	
	Q8NEM0	
	Q8NFY4	
	Q99871	
	Q9BZ76	
	Q9H992	
	Q9HBX9	
	Q9NQV8	
	Q9NV58	
	A6NC05	
	A7KAX9	
	H3BNL1	
	O15409	
	P41221	
	Q01523	
	Q01668	
	Q5GH73	
	Q5JXC2	
	Q6UXX9	
	Q86VD1	
	Q8IWL3	
	Q8WVD5	
	Q96JM7	
	Q96MF2	
	Q99715	
	Q9HCB6	
	Q9UH73	
	B6SEH8	
	O00339	
	O60663	
	P23276	
	Q02388	
	Q06455	
	Q13360	
	Q6IC83	
	Q7LBC6	
	Q7Z570	
	Q8N884	
	Q8WYK1	
	Q96C28	
	Q9HBZ2	
	Q9P0U4	
	Q9Y6K1	
	A0AAG2UXD8	
	O75037	
	O75487	
	P04732	
	P07858	
	P09758	
	P15498	
	P29322	
	P51814	
	Q01415	
	Q08AN1	
	Q5T4F7	
	Q5W0B1	
	Q76LX8	
	Q7Z6G8	
	Q8IWI9	
	Q96N58	
	Q96PE6	
	Q96T23	
	Q9H0X6	
	Q9H9B1	
	Q9NX65	
	Q9P272	
	Q9UKT4	
	Q9Y2D9	
	Q9Y493	
	A5D8T8	
	P04150	
	P0C0L5	
	P0C6S8	
	P27918	
	P28908	
	P46100	
	P48307	
	P51864	
	P79522	
	Q03591	
	Q14202	
	Q5M7Z0	
	Q5T750	
	Q6H9L7	
	Q6ZV73	
	Q7L513	
	Q86SH2	
	Q8N2G6	
	Q96FE5	
	Q96KM6	
	Q96NI8	
	Q96T91	
	Q9BQ08	
	Q9BXL6	
	Q9H7S9	
	Q9H972	
	Q9HCQ7	
	Q9NVL1	
	Q9NXC5	
	Q9UIK5	
	O60290	
	O60858	
	O75426	
	P0DPF3	
	P14207	
	P24468	
	P54826	
	P54829	
	Q2M3T9	
	Q6PEV8	
	Q86SQ3	
	Q86WK7	
	Q8N145	
	Q8NEM1	
	Q92628	
	Q9H293	
	Q9H869	
	Q9NSI6	
	Q9NX45	
	Q9P2H5	
	A8MUU1	
	B6SEH9	
	F5H4B4	
	O75437	
	O94880	
	P07711	
	P29279	
	P49908	
	Q2M218	
	Q53EP0	
	Q6ZVD8	
	Q7Z4V0	
	Q8N7W2	
	Q8NET1	
	Q9H5H4	
	Q9P0X4	
	Q9UHC3	
	Q9UJV3	
	Q9UKR3	
	B7Z368	
	P0CG20	
	P13640	
	P15586	
	Q12770	
	Q2KJY2	
	Q6ZR62	
	Q6ZSV7	
	Q7Z401	
	Q8WUJ1	
	Q9BQQ7	
	Q9H9Z2	
	Q9HCJ5	
	Q9UKL3	
	O14795	
	O75467	
	P0CG31	
	P0DKV0	
	P53582	
	Q0D2J5	
	Q12805	
	Q14590	
	Q16659	
	Q5SZI1	
	Q6NSJ2	
	Q6ZMU5	
	Q8NI51	
	Q92618	
	Q92896	
	Q96IT1	
	Q96K21	
	Q9BWT7	
	Q9BZ95	
	Q9H665	
	Q9NVV9	
	Q9Y2L8	
	Q9Y4K1	
	A0A494C071	
	A6NH21	
	B1APH4	
	P60410	
	Q07092	
	Q14149	
	Q5QGS0	
	Q86XS5	
	Q8TCQ1	
	Q96M29	
	Q99687	
	Q9BXT5	
	Q9HBT8	
	Q9Y2Y8	
	A0A1W2PPK0	
	A6NE52	
	A6NNA5	
	O60884	
	P01266	
	P53384	
	Q04759	
	Q13127	
	Q14210	
	Q14587	
	Q56P03	
	Q5BKU9	
	Q5TZJ5	
	Q68D51	
	Q6UXI9	
	Q8IX30	
	Q8NBL1	
	Q8TED4	
	Q96DX4	
	Q9BXY4	
	Q9C004	
	Q9H0J9	
	Q9H8G1	
	A4D161	
	O94966	
	O95071	
	P0DM35	
	P17030	
	P26927	
	Q6PG37	
	Q7L2R6	
	Q7Z6Z7	
	Q86UR1	
	Q8N8Q3	
	Q8N8R7	
	Q8WW38	
	Q8WYR1	
	Q92731	
	Q96C55	
	Q96S15	
	Q9NPD5	
	Q9UHN1	
	Q9Y462	
	A0A1B0GTW7	
	O60318	
	O75815	
	P07438	
	P17017	
	P22891	
	P30622	
	P53992	
	P54108	
	Q15649	
	Q5TC82	
	Q6NTE8	
	Q6PF15	
	Q8IUH4	
	Q8NB59	
	Q96EQ8	
	Q96JA1	
	Q9BSJ1	
	Q9BZ81	
	Q9HBG7	
	Q9NR61	
	Q9P212	
	Q9UF56	
	Q9UGL1	
	Q9ULD5	
	Q9Y603	
	A6NNF4	
	O75112	
	P26374	
	P41271	
	P57730	
	Q5T870	
	Q5VT25	
	Q5VUD6	
	Q6S5H5	
	Q6UXF7	
	Q70Z35	
	Q86UP3	
	Q8TEJ3	
	Q92496	
	Q96BR9	
	Q96LD4	
	Q9BRP1	
	Q9BYC8	
	Q9BZF2	
	Q9C026	
	Q9HAH1	
	A0A087WUL8	
	O00635	
	O14770	
	O76013	
	P07357	
	P09565	
	P17405	
	Q12882	
	Q13472	
	Q494R0	
	Q8IYW5	
	Q8NE65	
	Q8WU39	
	Q96A25	
	Q96MT3	
	Q96Q40	
	Q9H1E1	
	Q9H8L6	
	Q9UL41	
	Q9UPU3	
	Q9Y385	
	C9J302	
	O00463	
	O15164	
	O60565	
	O75840	
	P01215	
	P01589	
	P10114	
	P14222	
	P20160	
	P51654	
	P58658	
	P63267	
	P82279	
	Q02413	
	Q13443	
	Q2Q1W2	
	Q5SWL8	
	Q5SY85	
	Q5TAX3	
	Q8IZQ1	
	Q8NCN2	
	Q8TAF7	
	Q92765	
	Q96BV0	
	Q96LX8	
	Q99728	
	Q9BYR8	
	Q9HAR2	
	Q9NSA2	
	Q9UBX5	
	Q9UKF5	
	Q9Y3D2	
	A0ABJ7H351	
	O15265	
	O75173	
	O75604	
	O95243	
	P17028	
	P23743	
	P46531	
	P55201	
	P56159	
	Q17R98	
	Q5EBM4	
	Q5T700	
	Q6NUJ1	
	Q6VAB6	
	Q701N4	
	Q7Z7M0	
	Q86TB3	
	Q8N8J6	
	Q8WTQ1	
